201  156692 |Loss: 0.004 | Acc: 99.930% 
201  156693 |Loss: 0.004 | Acc: 99.931% 
201  156694 |Loss: 0.004 | Acc: 99.931% 
201  156695 |Loss: 0.004 | Acc: 99.931% 
201  156696 |Loss: 0.004 | Acc: 99.931% 
201  156697 |Loss: 0.004 | Acc: 99.932% 
201  156698 |Loss: 0.004 | Acc: 99.932% 
201  156699 |Loss: 0.004 | Acc: 99.932% 
201  156700 |Loss: 0.004 | Acc: 99.932% 
201  156701 |Loss: 0.004 | Acc: 99.933% 
201  156702 |Loss: 0.004 | Acc: 99.933% 
201  156703 |Loss: 0.004 | Acc: 99.933% 
201  156704 |Loss: 0.004 | Acc: 99.933% 
201  156705 |Loss: 0.004 | Acc: 99.933% 
201  156706 |Loss: 0.004 | Acc: 99.934% 
201  156707 |Loss: 0.004 | Acc: 99.934% 
201  156708 |Loss: 0.004 | Acc: 99.934% 
201  156709 |Loss: 0.004 | Acc: 99.934% 
201  156710 |Loss: 0.004 | Acc: 99.934% 
201  156711 |Loss: 0.004 | Acc: 99.935% 
201  156712 |Loss: 0.004 | Acc: 99.935% 
201  156713 |Loss: 0.004 | Acc: 99.935% 
201  156714 |Loss: 0.004 | Acc: 99.935% 
201  156715 |Loss: 0.004 | Acc: 99.936% 
201  156716 |Loss: 0.004 | Acc: 99.936% 
201  156717 |Loss: 0.004 | Acc: 99.936% 
201  156718 |Loss: 0.004 | Acc: 99.936% 
201  156719 |Loss: 0.004 | Acc: 99.936% 
201  156720 |Loss: 0.004 | Acc: 99.937% 
201  156721 |Loss: 0.004 | Acc: 99.937% 
201  156722 |Loss: 0.004 | Acc: 99.937% 
201  156723 |Loss: 0.004 | Acc: 99.937% 
201  156724 |Loss: 0.004 | Acc: 99.937% 
201  156725 |Loss: 0.004 | Acc: 99.938% 
201  156726 |Loss: 0.004 | Acc: 99.938% 
201  156727 |Loss: 0.004 | Acc: 99.938% 
201  156728 |Loss: 0.004 | Acc: 99.938% 
201  156729 |Loss: 0.004 | Acc: 99.938% 
201  156730 |Loss: 0.004 | Acc: 99.938% 
201  156731 |Loss: 0.004 | Acc: 99.939% 
201  156732 |Loss: 0.004 | Acc: 99.939% 
201  156733 |Loss: 0.004 | Acc: 99.939% 
201  156734 |Loss: 0.004 | Acc: 99.939% 
201  156735 |Loss: 0.004 | Acc: 99.939% 
201  156736 |Loss: 0.004 | Acc: 99.940% 
201  156737 |Loss: 0.004 | Acc: 99.940% 
201  156738 |Loss: 0.004 | Acc: 99.940% 
201  156739 |Loss: 0.004 | Acc: 99.940% 
201  156740 |Loss: 0.004 | Acc: 99.940% 
201  156741 |Loss: 0.004 | Acc: 99.936% 
201  156742 |Loss: 0.004 | Acc: 99.936% 
201  156743 |Loss: 0.004 | Acc: 99.936% 
201  156744 |Loss: 0.004 | Acc: 99.936% 
201  156745 |Loss: 0.004 | Acc: 99.937% 
